id,part_no,button_type,part1_no,part1_qty,part2_no,part2_qty,part3_no,part3_qty,part4_no,part4_qty,rflookup_term,smartcode_ref
CDU-LED RGA-Desk,50787,,,,,,,,,,,
CDU-LED RGA-Ceiling,51938,,,,,,,,,,,
CDU-LED RGA-Wall,50787,,,,,,,,,,,
CDU-LED RGA-Wall Inverted,51938,,,,,,,,,,,
PDU-STD RGA-Desk,50778,,,,,,,,,,,
PDU-STD RGA-Ceiling,51936,,,,,,,,,,,
PDU-STD RGA-Wall,50778,,,,,,,,,,,
PDU-STD RGA-Wall Inverted,51936,,,,,,,,,,,
PDU-Micro RGA-Desk,52720,,,,,,,,,,,
PDU-Micro RGA-Ceiling,52911,,,,,,,,,,,
PDU-Micro RGA-Wall,52720,,,,,,,,,,,
PDU-Micro RGA-Wall Inverted,52911,,,,,,,,,,,
Hardwire Button,50481-000,x,,,,,,,,,,HW
RF Transmitter 868Mhz,51887-868,x,,,,,,,,,RF 868 Receiver,RF868
RF Button Remote 868MHz,03897-868,x,,,,,,,,,RF 868 Receiver,RF868B
RF Transmitter 433Mhz,51887-000,x,,,,,,,,,RF 433 Receiver,RF433R
RF Button Remote 433MHz,03897-000,x,,,,,,,,,RF 433 Receiver,RF433B
Wavetec High Function,50934-CONFIG,,,,,,,,,,,
Wavetec Hub Bracket,08081-000,,,,,,,,,,,
UK IEC,08331-33S,,,,,,,,,,,
Euro IEC,08434-000,,,,,,,,,,,
US IEC,08399-000,,,,,,,,,,,
RF 868 Receiver,868REC,,,,,,,,,,,
RF 433 Receiver,844REC,,,,,,,,,,,
eQCD,09273-000,,,,,,,,,,,
AsdaTag,AsdaTag,,,,,,,,,,,
HubRJ45Green,03203-28,,,,,,,,,,,
38x38x3000,08876-32,,,,,,,,,,,
16x10x3000,06463-32,,,,,,,,,,,
cdu30mext,05540-33S,,,,,,,,,,,
cdu10mext,01029-33S,,,,,,,,,,,
patressboard,01334-000,,,,,,,,,,,
PDUPoleSleeve,50994,,,,,,,,,,,
PDUPoleTop Hat,11278,,,,,,,,,,,
CDUPoleSleeve,50995,,,,,,,,,,,
CDUPoleTop Hat,52583,,,,,,,,,,,
CDUCombiSleeve,51311,,,,,,,,,,,
CDUCombiTop Hat,52584,,,,,,,,,,,
None,,x,,,,,,,,,,
PDU-STDMic RGA-Desk,55486,,,,,,,,,,,
PDU-LightPanel-Ceiling,53389,,,,,,,,,,,
PDU-LightPanel-Desk,53389,,,,,,,,,,,
Dual Wavetec Hub Bracket,55487-9006,,,,,,,,,,,
Single Wavetec Hub Bracket,55541-9006,,,,,,,,,,,
CDUBox,92260,,,,,,,,,,,
16x10x1000,06463-1mt,,,,,,,,,,,
