id,colourcode,r1,r2,r3,r4,r5,r6,r7,r8
All Weather (AW),AW,,,,,,,,
Anthracite Grey (7016),7016,x,,,,,,,
Antique Bronze (AB),AB,,,,,,,,
Black Leatherette (553),553,,,,,,,,
Blue Ral5002 (5002),5002,,,,,,,,
Blue Ral5013 (23),23,,,,x,,,,
Brass Effect (15),15,,,,,,,,
Brown Ral8001 (8001),8001,,,,,,,,
Brown Ral8014 (8014),8014,,,,,,,,
Brown Ral8017 (8017),8017,,,,,,,,
Brown Ral8040 (8040),8040,,,,,,,,
Brushed Nickel (044),044,,,,x,,,,
Brushed Stainless Steel (3B),3B,x,,,,,,,
Capri blue Ral5019 (5019),5019,,x,,x,,,,
Charcoal Grey (80),80,x,,,,,,,
Chrome Silver (586),586,,,,,,,,
Cobolt Blue Ral5013 (5013),5013,x,x,,,,,,
Copper Brown Ral8004 (8004),8004,,,,,,,,
Cromadex Iridon M35 O31 (585),585,,,,,,,,
Dove Grey (512),512,x,,,x,,,,
Fir Green Ral6009 (6009),6009,x,,,,,,,
Gloss Black (9005),9005,,,,,,,,
Gold Expoxy Hammerite (EP90031),EP90031,,,,,,,,
Green Ral6028 (28),28,,,,,,,,
Grey epol9927 (9927),9927,,,,,,,,
Grey Ral7036 (7036),7036,,,,,,,,
Grey Ral7039 (7039),7039,,,,,,,,
Grey Ral7045 (7045),7045,,,,,,,,
Hammer Grey (73),73,,,,,,,,
Hammer Grey (Rollabase 073),073,,,,,,,,
High glass black Ral9005 (9005),9005,,,,,,,,
Light green Ral6018 (6018),6018,,,,,,,,
Metalic Dark Grey Ral9007 (9007),9007,x,,,,,,,
Nut Brown Ral8011 (8011),8011,,,,,,,,
Orange Ral2004 (2004),2004,x,,,,,,,
Pantone 425c (425C),425C,,,,,,,,
Pink PMS233 (PMS233),PMS233,,,,,,,,
Polished Chrome (1P),1P,x,,,x,,,,
Polished Stainless (3P),3P,,,,,,,,
Purple Ral4007 (4007),4007,,,,,,,,
Raw,000,x,x,x,x,,,,
Red Ral3002 (21),21,,,,,,,,
Red Ral3020 (3020),3020,,,,,,,,
Red Wine Ral3005 (3005),3005,,,,,,,,
Ruby Red Ral3003 (3003),3003,,,,,,,,
Satin Black (33S),33S,x,x,,x,,,,
Satin Chrome (1S),1S,x,,,,,,,
Satin Stainless (3S),3S,,,,,x,,,
Silver  FW104E (91),91,x,x,,x,,x,,
Silver Ral9006 (9006),9006,x,x,,x,,,,
Silver Vein (SV),SV,,,,,,,,
Slate Grey Ral7015 (7015),7015,x,,,,,,,
Stainless steel (3B),3B,,,,,,,,
Turkish Blue Ral5018 (5018),5018,,,,,,,,
Umbra Grey Ral7022 (7022),7022,,,,,,,,
White  Ral9010 (32),32,x,,,,,,,
White Ral9001 (9001),9001,,,,,,,,
White Ral9003 (9003),9003,,,,,,,,
Window Grey Ral7040 (7040),7040,,,,,,,,
Yellow Ral1004 (35),35,,x,,,,,,
