lookup_parameter,fg_num
2.5inch-955-universalheavy,TBU130
2.5inch-955-Surface Mount,TBU190
2.5inch-955-Floor Socket,TBU120
2.5inch-955-nobase,TBU130-NB
2.5inch-1200-universalheavy,TBU130
2.5inch-1200-Surface Mount,TBU190
2.5inch-1200-Floor Socket,TBU120
2.5inch-1200-nobase,TBU130-NB
2.5inch-1400-universalheavy,TBU130
2.5inch-1400-Surface Mount,TBU190
2.5inch-1400-Floor Socket,TBU120
2.5inch-1400-nobase,TBU130-NB
2.5inch-Custom-universalheavy,TBU130
2.5inch-Custom-Surface Mount,TBU190
2.5inch-Custom-Floor Socket,TBU120
2.5inch-Custom-nobase,TBU130
2.5inch-Custom-basicsheavy,TBU130-NB
2.5inch-955-Sport,TBU110S
2.5inch-955-magnetic,TBM130
2.5inch-1200-basicsheavy,TBU130
