base_type,base_part_no,base_finish,cover_part_no,base_kit_part_no,base_box_part_no,fg_base_filter,base_protector,deny_slug_option,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,smartcode_entry
MK2 Universal Std U,11795,universalmk2,11797,52901-33S,05272-000,universal,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U
MK2 Universal Heavy UH,11796,universalheavymk2,11797,52901-33S,05272-000,universalheavy,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UH
Floor Socket,,surface_mount,,50003-3B,05272-000,Floor Socket,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F
Mini Floor Socket (Indoor),,surface_mount,,50441-CONFIG,,Floor Socket,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R
Mini Floor Socket (Outdoor),,surface_mount,,54299-000,,Floor Socket,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R
Mini Floor Socket 120mm,,surface_mount,,,,Floor Socket,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R
Mini Floor Socket 165mm,,surface_mount,,52743-000,,Floor Socket,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R
Mini Floor Socket 170mm,,surface_mount,,,,Floor Socket,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R
Mini Floor Socket 180mm,,surface_mount,,51671-CONFIG,,Floor Socket,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R
Mini Floor Socket 60mm,,surface_mount,,53433-000,,Floor Socket,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R
Mini Floor Socket 80mm,,surface_mount,,51801-3B,,Floor Socket,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R
Mini Floor Socket with 2mm Carpet Ring,,surface_mount,,54049-000,,Floor Socket,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R
Surface Mount,,surface_mount,,50408-000,,Surface Mount,,TRUE,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F
Surface Mount Black 33S,,surface_mount,,53203-33S,,Surface Mount,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F
Surface Mount Black Ral 9005,,surface_mount,,53618-9005,,Surface Mount,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F
Surface Mount Blue Ral 5013,,surface_mount,,53618-23,,Surface Mount,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F
Surface Mount FW104e,,surface_mount,,53618-91,,Surface Mount,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F
Surface Mount Satin Chrome,,surface_mount,,53618-1S,,Surface Mount,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F
Surface Mount Silver Ral 9006,,surface_mount,,53618-9006,,Surface Mount,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F
Surface Mount White Ral 9003,,surface_mount,,53618-9003,,Surface Mount,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F
Tensaguide Surface Mount,,surface_mount,,53618-000,,Surface Mount,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F
Tensaguide Surface Mount Mushroom,,surface_mount,,53618-45YY65/084,,Surface Mount,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F
Tensaguide Surface Mount Oyster White Ral 1013,,surface_mount,,53618-1013,,Surface Mount,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F
Tensaguide Surface Mount Silk Grey,,surface_mount,,,,Surface Mount,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F
No Base,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetic Base,06615,magnetic,06614,53803-CONFIG,05272-000,magnetic,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAG
Moulded Magnetic Base,06615,magnetic,06614,56127-CONFIG,05272-000,magnetic,TRUE,TRUE,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAG
Locating Moulded Magnetic Base,06615,magneticlocated,06614,56125-CONFIG,05272-000,magnetic,TRUE,TRUE,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAG
