id,colorcode,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20
Anthracite Ral7016 (7016),7016,x,,,,,,,,,,,,,,,,,,,
Black with Black Basics Cover (33S/NC),33S/NC,,,,,,,,,,,,,,,,,,,,
Blue Ral5002 (5002),5002,x,,,,,,,,,,,,,,,,,,,
Blue Ral5013 (23),23,x,x,,,,,,,,,,,,,,,,,,
Brown Ral8014 (8014),8014,x,,,,,,,,,,,,,,,,,,,
Brushed/Grained to Grit 240 (240),240,x,,,,,,,,,,,,,,,,,,,
Capri Blue Ral5019 (5019),5019,x,x,,,,,,,,,,,,,,,,,,
Charcoal (80),80,x,x,,,,,,,,,,,,,,,,,,
Copper Brown Ral8004 (8004),8004,x,,,,,,,,,,,,,,,,,,,
Cream Ral9001 (9001),9001,x,,,,,,,,,,,,,,,,,,,
Cromadex Iridon-M35-O31 (585),585,x,,,,,,,,,,,,,,,,,,,
Dove Grey (512),512,x,,,,,,,,,,,,,,,,,,,
Epol Grey (9927),9927,x,,,,,,,,,,,,,,,,,,,
Grey Ral7045 (7045),7045,x,,,,,,,,,,,,,,,,,,,
Grey Ral9007 (9007),9007,x,,,,,,,,,,,,,,,,,,,
Hammer Grey (73),73,x,x,x,,,,,,,,,,,,,,,,,
High Gloss Black (9005),9005,x,,,,,,,,,,,,,,,,,,,
Light Green Ral6018 (6018),6018,x,,,,,,,,,,,,,,,,,,,
Nut Brown Ral8011 (8011),8011,x,,,,,,,,,,,,,,,,,,,
Orange Ral2004 (2004),2004,x,x,,,,,,,,,,,,,,,,,,
Pantone 425c (80% Grey) (425C),425C,x,,,,,,,,,,,,,,,,,,,
Pewter Nickel (PN),PN,x,,,,,,,,,,,,,,,,,,,
Pink (PMS233),PMS233,x,,,,,,,,,,,,,,,,,,,
Pink PMS233 (233),233,,x,,,,,,,,,,,,,,,,,,
Polished Brass (2P),2P,,,,,,,,,,,,,,,,,,,,
Polished Chrome (1P),1P,x,x,x,x,,,,,,,,,,,,,,,,
Polished Stainless (3P),3P,x,x,,,,,,,,,,,,,,,,,,
Purple Ral4007 (4007),4007,x,,,,,,,,,,,,,,,,,,,
Raw (000),000,,,,,,,,,,,,,,,,,,,,
Red Ral3002 (21),21,x,x,,,,,,,,,,,,,,,,,,
Red Ral3020 (3020),3020,x,,,,,,,,,,,,,,,,,,,
Red Wine Ral3005 (3005),3005,x,x,,,,,,,,,,,,,,,,,,
Ruby Red Ral3003 (3003),3003,x,,,,,,,,,,,,,,,,,,,
Satin Black (33S),33S,x,x,,,,,,,,,,,,,,,,,,
Satin Brass (2S),2S,,,,,,,,,,,,,,,,,,,,
Satin Chrome (1S),1S,x,x,,,,,,,,,,,,,,,,,,
Satin Stainless (3S),3S,x,,,,,,,,,,,,,,,,,,,
Silver FW104E (91),91,x,x,,,,,,,,,,,,,,,,,,
Silver Ral9006 (9006),9006,x,x,x,,,,,,,,,,,,,,,,,
Silver Vein (SV),SV,x,,,,,,,,,,,,,,,,,,,
Slate Grey Ral7015 (7015),7015,,x,,,,,,,,,,,,,,,,,,
Stainless 810-M Anthracite Metallic effect (810-M),810-M,x,,,,,,,,,,,,,,,,,,,
Stainless Steel (3B),3B,x,x,x,,,,,,,,,,,,,,,,,
Stainless Steel Ral6012 (28S),28S,x,,,,,,,,,,,,,,,,,,,
Turkish Blue Ral5018 (5018),5018,,x,,,,,,,,,,,,,,,,,,
White Ral9003 (9003),9003,x,,,,,,,,,,,,,,,,,,,
White Ral9010 (32),32,x,,,,,,,,,,,,,,,,,,,
Window Grey Ral7040 (7040),7040,x,,,,,,,,,,,,,,,,,,,
Yellow Ral1004 Smooth (35),35,x,x,,,,,,,,,,,,,,,,,,
Stainless Painted Grey Ral7021 (3B-7021),3B-7021,,,,,,,,,,,,,,,,,,,,
