colour_option,colour_code,standard_body,standard_alarmed,midi_body,midi_cap,midi_steel,maxi_body,maxi_cap,maxi_steel,wide_body,headunit_body,maxi_steel_side,midi_side,qmatic_cap,qmaticstd_body,maxi_plastic_side,midi_steel_side,unihead_body,mini_abs,wallmxl_body,rotating_body,recess_body,recesslatch_body,comment_string,896_bodyupcharge,std_capupcharge,899_capupcharge
Brut,000,,,,,,,,,,,,,,,,,,,,,,,Raw,,,
Gris charbon (80),80,x,,,,,,,,,,,,,x,,,,,,,,,Charcoal (80),0,,
Bleu (23),23,x,,,,,,,,,,,,,x,,,,,,,,,Blue (23),,,
Rouge ( 21),21,x,,,x,,,x,,,,,,,x,,,,,,,,,Red (21),,0,
Jaune Ral 1004 (35),35,x,,,,,,x,,,,,,,,,,,,x,,,,Yellow Ral1004 (35),,0,
Noir ( 33S),33S,x,x,x,x,x,x,x,x,x,x,,x,x,x,,,x,x,,,x,,Black (33S),,0,
Gris martele (73),73,x,,,,,,,,,,,,,x,,,,,,,,,Hammer Grey (73),,,
Vert Ral 6028 (28),28,x,,,,,,,,,,,,,,,,,,,,,,Green Ral6028 (28),,,
Blanc Ral 9010 (32),32,x,,,x,x,,,,,,,,,x,,,,,,,,,White Ral9010 (32),,,
Chrome Poli (1P),1P,x,x,,x,,,x,,,,,,,x,,,,,,x,,,Polished Chrome (1P),0,0,0
Inox (3B),3B,x,,,,x,,,x,,x,x,,,x,,x,,,,x,,x,Stainless Steel (3B),,,
Argente martele (SV),SV,x,,,,,,,,,,,,,,,,,,,,,,Silver Vein (SV),,,
Gris Standard FW104E (91),91,x,x,,,,,,,,,,,,,,,,,,,,,Silver FW104E (91),,,
Gris Anthracite (7016),7016,x,,,,,,,,,,,,,,,,,,,,,,Antracite Grey (7016),,,
Gris Epol 9927 (9927),9927,x,,,,,,,,,,,,,,,,,,,,,,Grey Epol9927 (9927),,,
Gris Colombe (512),512,x,,,,,,,,,,,,,,,,,,,,,,Dove Grey (512),,,
Jaune (35),35,,,,x,,,,,,,,,,x,,,,,,,,,Yellow (35),,,
Gris Graphite Ral 7024 Mat (7024),7024,x,,,,,,,,,,,,,,,,,,,,,,Graphite Grey Ral7024 Matt (7024),,,
Noir (AAA),AAA,,,,,,,,,,,,,,,x,,,,,,,,Black (AAA),,,
Beige rainure(100C),100C,x,,,,,,,,,,,,,,,,,,,,,,Crackle Beige (100C),,,
Creme (9001),9001,x,,,,,,,,,,,,,,,,,,,,,,Cream (9001),,,
Gris DB703 (DB703),DB703,x,,,,,,,,,,,,,,,,,,,,,,Silver DB703 (DB703),,,
Blanc Aluminium Ral 9006 (9006),9006,x,,,,,,,,,,,,,,,,,,,,,,White Aluminium Ral9006 (9006),,,
Vert Opal Ral 6026 (6026),6026,,,,,x,,,x,,,,,,,,,,,,,,,Opal Green Ral 6026 (6026),,,
Inox Marine 316 (316),316,,,,,,,,,,,,,,,,,,,,,,,316 Stainless Steel (316),,,
Gris clair Ral 7035 (7035),7035,x,,,,,,,,,,,,,,,,x,,,,,,Light Grey Ral7035 (7035),,,
Blanctraffic RAL 9016 (9016),9016,x,,,,,,,,,,,,,,,,,,,,,,Traffic White Ral9016 (9016),,,
Noir Jaune (33S35),33S35,,,,,,,,,,,,,,,,,,,,x,,,Black and Yellow (33S35),,,
Acier satine (3S),3S,,,,,,,,,,,,,,,,,,,,,,,Stainless Steel (3S),,,
