id,body_finish_col,body_part_no,cap_finish_col,cap_part_no,cassette_range,fixing_kit,alarm_kit,screw_part_no,screw_qty,ad1_part_no,ad1_part_desc,ad1_part_qty,ad2_part_no,ad2_part_desc,ad2_part_qty,ad3_part_no,ad3_part_desc,ad3_part_qty,wallmfg_num,comment_format,cycle_time_selector,add_packing_part,add_packing_qty,supply_default,comment_string,base_listprice,suspend_selection
Bati Mini Plastique ABS,mini_abs,06497,,,1,8,,,,11722-000,Label Do Not Over Tighten Fixing,1,,,,,,,891,A,std,01290-000,1,make,Mini Plastic ABS wallmount,,
Bati Mini,standard_body,05887,,,1,6,,,,,,,,,,,,,896,A,std,01290-000,1,make,Mini wallmount,0,
Bati Midi,midi_body,03731,midi_cap,03732,2,1,,04880-000,4,,,,,,,,,,897,B,std,01290-000,1,pick,Midi wallmount,0,
Bati Maxi,maxi_body,00501,maxi_cap,00502,3,3,,08026-33S,2,,,,,,,,,,899,B,std,01287-000,1,pick,Maxi wallmount,0,
Bati Midi Sangle extra large,wide_body,08933,midi_cap,03732,4,4,,04880-000,4,,,,,,,,,,897P,B,std,,,pick,Midi Wide Webbing wallmount,,
Headunit,headunit_body,05830,,,5,,,02565-33S,4,02966-33S,Adaptor,1,,,,,,,ESCHEAD,A,std,,,,Headunit,,
Bati Mini avec alarme,standard_alarmed,01861,,,1,4,50450-000,,,,,,,,,,,,896-ALM,A,std,01290-000,1,,Mini Alarmed wallmount,,
Bati Midi Acier,midi_steel,01841,,,2,2,,00471-000,2,04536-33S,Wall mount mouthpiece,1,02565-33S,Rivet M3.2x12,4,01836-3B,Midi Back Bracket,1,897,B,std,01290-000,1,pick,Midi Steel wallmount,,
Bati Maxi Acier,maxi_steel,04535,,,3,3,,00471-000,2,04536-33S,Wall mount mouthpiece,1,,,,,,,899,B,std,01287-000,1,pick,Maxi Steel wallmount,,
Bati Maxi Acier Sortie laterale,maxi_steel_side,00431,,,3,3,,08026-33S,2,04536-33S,Wall mount mouthpiece,1,,,,,,,899,B,std,01287-000,1,,Maxi Steel Side Exit wallmount,,
Bati Midi Sortie par cote,midi_side,07420,midi_cap,03732,2,1,,04880-000,4,,,,,,,,,,897,B,std,01290-000,1,,Midi Side Exit wallmount,,
Bati Mini encastrable,standard_body,05887,,,1,4,,,,,,,,,,,,,896CM,A,std,01290-000,1,,Reverse Mini wallmount,,
Bati Maxi Plastique Sortie par cote,maxi_plastic_side,00501,maxi_cap,00502,3,3,,08026-33S,2,,,,,,,,,,899,B,std,01287-000,1,,Maxi Plastic Side Exit wallmount,,
Bati Midi Acier Sortie par cote,midi_steel_side,01842,,,2,7,,08026-012,2,04536-33S,Wall mount mouthpiece,1,03516-067,Rivet 3.2 x 8,4,01836-3B,Midi Back Bracket,1,897,B,std,01290-000,1,,Midi Steel Side Exit wallmount,,
Tete Universelle,unihead_body,09084,,,1,,,,,,,,,,,,,,UNIHEAD,A,std,,,,Universal Post Head,,
Bati Midi sans capuchon,midi_body,03731,,,2,1,,04880-000,4,,,,,,,,,,897,B,std,01290-000,1,,Midi No Caps,,
Bati Maxi sans capuchon,maxi_body,00501,,,3,3,,08026-33S,2,,,,,,,,,,899,B,std,01287-000,1,,Maxi No Caps,,
Wallmount XL,wallmxl_body,56058,,,8,,,,,,,,,,,,,,970,A,std,,,pick,XL Wall Mount,,
Rotating Wall Unit,rotating_body,56002,,,9,,,,,,,,,,,,,,180,A,std,,,pick,Rotating Wall Unit,,
Recess Unit 892,recess_body,,,,10,,,,,,,,,,,,,,892,A,std,,,pick,Recess Unit 892,,
Vertical Latch Door Recess Unit 892L,recesslatch_body,,,,11,,,,,,,,,,,,,,892L,A,std,,,pick,Vertical Latch Door Recess Unit 892L,,
