id,posttop_part_no,posttop_finish_lookup,signstand_headprefix,fgprefix,posthead_assy_kit,ring_partprefix,floatingring_allowed,smartcode_headtype,fg_comment,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,base_listprice,std_postheadupcharge,suspend_selection
Classic,07830,1,,310,,790002,,CL,Classic post,x,,,,,,,,,,61,30,
Sphere,07831,2,,312,,790002,,SP,Sphere post,x,,,,,,,,,,,,
Contemporary,07832,3,,314,,790002,,CO,Contemporary post,x,,,,,,,,,,,,
Vertical 7x11 Sign Frame for 1310 Stand,56711,5,870043,1310,,,,V7x11,1310 Sign Stand with vertical 7x11 sign frame,,,,,x,,,,,,,,
Vertical 8.5x11 Sign Frame for 1310 Stand,07832,6,870640,1310,,,,V8.5x11,1310 Sign Stand with vertical 8.5x11 sign frame,,,,,x,,,,,,,,
Vertical 11x14 Sign Frame for 1310 Stand,07832,7,870100,1310,,,,V11x14,1310 Sign Stand with vertical 11x14 sign frame,,,,,x,,,,,,,,
Vertical 14x22 Sign Frame for 1310 Stand,07832,8,870130,1310,,,,V14x22,1310 Sign Stand with vertical 14x22 sign frame,,,,,x,,,,,,,,
Vertical 22x28 Sign Frame for 1310 Stand,07832,9,870160,1310,,,,V22x28,1310 Sign Stand with vertical 22x28 sign frame,,,,,x,,,,,,,,
Horizontal 7x11 Sign Frame for 1310 Stand,07832,10,870029,1310,,,,H7x11,1310 Sign Stand with horizontal 7x11 sign frame,,,,,x,,,,,,,,
Horizontal 8.5x11 Sign Frame for 1310 Stand,07832,11,870720,1310,,,,H8.5x11,1310 Sign Stand with horizontal 8.5x11 sign frame,,,,,x,,,,,,,,
Horizontal 11x14 Sign Frame for 1310 Stand,07832,12,870085,1310,,,,H11x14,1310 Sign Stand with horizontal 11x14 sign frame,,,,,x,,,,,,,,
Horizontal 14x22 Sign Frame for 1310 Stand,07832,13,870115,1310,,,,H14x22,1310 Sign Stand with horizontal 14x22 sign frame,,,,,x,,,,,,,,
Horizontal 22x28 Sign Frame for 1310 Stand,07832,14,870146,1310,,,,H22x28,1310 Sign Stand with horizontal 22x28 sign frame,,,,,x,,,,,,,,
Vertical 7x11 Sign Frame for 1410 Stand,07832,5,870043,1410,,,,V7x11,1410 Sign Stand with vertical 7x11 sign frame,,,,,,x,,,,,,,
Vertical 11x14 Sign Frame for 1410 Stand,07832,7,870100,1410,,,,V11x14,1410 Sign Stand with vertical 11x14 sign frame,,,,,,x,,,,,,,
Horizontal 7x11 Sign Frame for 1410 Stand,07832,10,870029,1410,,,,H7x11,1410 Sign Stand with horizontal 7x11 sign frame,,,,,,x,,,,,,,
Horizontal 11x14 Sign Frame for 1410 Stand,07832,12,870085,1410,,,,H11x14,1410 Sign Stand with horizontal 11x14 sign frame,,,,,,x,,,,,,,
Hitching,770502,4,,307,50001-CONFIG,,,HI,Hitching post,,,x,,,,,,,,,,
Contemporary (Safety),07832,3,,303,,790002,,CO,Safety post,,x,,,,,,,,,,,
