id,seg2,seg3,seg4,seg5,seg6,seg7,seg8,seg9,seg10,seg11,seg12
,Rope End Type,Rope End Finish,Rope Finish,Rope Length,Wall Plate Type,Wall Plate Finish,Wall Plate Qty,not_applicable,not_applicable,not_applicable,not_applicable
csv_columnref,_ropeendbaseupcharge,_ropeendfinishupcharge,,_lengthperftupcharge,,,,,,,
541,std,std,FALSE,std,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
542,std,std,FALSE,std,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
543,std,std,FALSE,std,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
545,std,std,FALSE,std,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
