id,part_suffix,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,std_ropeendfinishupcharge
Antique Copper (10),10,x,x,x,x,,,,,,,
Black Gloss (33G),33G,x,x,x,x,,,,,,,
Black Wrinkle (89),89,x,x,x,x,,,,,,,
Blue (23),23,x,x,x,x,,,,,,,
Clear Coat Polished Brass (2PCL),2PCL,x,x,x,x,,,,,,,
Copper Vein (66),66,x,x,x,x,,,,,,,
English Antique (6X),6X,x,x,x,x,,,,,,,
Gold Vein (65),65,x,x,x,x,,,,,,,10
Marine Coat Polished Chrome (1P-MARINE-C),1P-MARINE-C,x,x,x,x,,,,,,,
Polished Brass (2P),2P,x,x,x,x,,,,,,,5
Polished Chrome (1P),1P,x,x,x,x,,,,,,,0
Satin Black (33S),33S,x,x,x,x,,,,,,,
Satin Brass (2S),2S,x,x,x,x,,,,,,,
Satin Chrome (1S),1S,x,x,x,x,,,,,,,0
Satin Smoke Prism (88),88,x,x,x,x,,,,,,,
Silver Vein (64),64,x,x,x,x,,,,,,,
Statuary Bronze (8X),8X,x,x,x,x,,,,,,,
Sun Gold (82),82,x,x,x,x,,,,,,,
White (32),32,x,x,x,x,,,,,,,
